nu,sw,nu-err,sw-err,nu-ref,sw-ref
2780.289456,1.687e-28,3,3,245,242
2780.29042,4.164e-28,1,6,752,752
2780.313942,9.651e-28,1,4,752,752
2780.317729,7.635e-29,3,3,245,242
2780.321829,2.094e-28,1,6,752,752
2780.324787,8.99e-29,3,3,245,242
2780.333223,7.546e-29,1,4,752,752
2780.336667,2.948e-29,3,3,744,744
2780.341692,4.552e-28,1,6,752,752
2780.341729,7.134e-25,3,3,239,257
2780.342728,2.395e-29,1,3,752,752
2780.343185,3.632e-29,1,3,752,752
2780.343757,5.261e-25,3,3,239,257
2780.344098,5.82e-29,1,3,752,752
2780.348393,5.003e-25,3,6,752,752
2780.353096,6.54e-28,3,6,752,752
2780.354013,3.841e-28,1,5,752,752
2780.355335,2.834e-25,3,3,239,257
2780.375265,8.921e-28,3,3,247,744
2780.388874,4.835e-27,1,6,752,752
2780.394492,1.25e-28,3,3,245,242
2780.394789,1.703e-24,4,6,752,752
2780.403979,9.304e-28,1,6,752,752
2780.404133,9.334e-28,1,6,752,752
2780.411035,1.669e-25,5,3,245,242
2780.423712,7.606e-29,2,3,247,744
2780.428427,5.46e-25,3,3,239,257
2780.458425,2.712e-27,1,6,752,752
2780.468626,1.187e-29,1,4,752,752
2780.48063,2.34e-25,3,3,239,257
2780.481464,7.327e-28,3,3,245,242
2780.484795,6.896e-28,3,3,245,242
2780.496924,1.337e-25,3,3,744,744
2780.501917,1.034e-27,3,3,245,242
2780.513973,5.766e-27,3,3,247,744
2780.51676,1.249e-22,4,5,744,744
2780.526481,1.816e-28,3,3,245,242
2780.535458,1.015e-22,4,5,744,744
2780.537156,6.302e-27,1,6,752,752
2780.542811,1.174e-29,2,3,247,744
2780.545608,1.919e-23,3,6,752,752
2780.552089,1.24e-25,4,3,744,744
2780.563528,1.263e-26,3,3,247,744
2780.563681,6.732e-29,1,6,752,752
2780.573927,7.638e-29,3,6,752,752
2780.574003,2.026e-28,1,6,752,752
2780.589567,3.444e-29,1,5,752,752
2780.590034,4.634e-28,1,5,752,752
2780.592179,5.855e-27,1,5,752,752
2780.592489,4.761e-23,4,4,744,744
2780.594073,1.863e-27,1,6,752,752
2780.594777,1.973e-26,3,6,752,752
2780.606025,7.035e-29,1,4,752,752
2780.606422,9.31e-29,1,5,752,752
2780.609623,1.352e-28,1,4,752,752
2780.612224,1.178e-23,3,4,744,744
2780.615966,7.266e-29,3,3,245,242
2780.623094,1.267e-29,2,3,247,744
2780.627958,2.403e-23,4,4,744,744
2780.628191,6.226e-27,1,6,752,752
2780.637363,4.937e-25,4,3,247,744
2780.642548,7.02e-29,3,3,245,242
2780.647309,4.935e-25,4,3,247,744
2780.65746,3.045e-23,4,4,744,744
2780.674653,6.773e-29,3,3,245,242
2780.67812,1.484e-25,4,3,247,744
2780.680795,8.763e-26,3,3,247,744
2780.681266,5.839e-29,3,3,744,744
2780.68212,5.863e-26,3,3,247,744
2780.693106,1.388e-27,3,3,247,744
2780.693567,4.369e-27,3,3,247,744
2780.694047,8.83e-27,3,3,247,744
2780.701456,7.636e-27,1,3,744,744
2780.706819,7.672e-27,1,3,744,744
2780.714702,1.182e-28,3,3,245,242
2780.721454,1.752e-26,1,5,752,752
2780.729624,2.029e-23,3,4,744,744
2780.733661,7.82e-28,3,3,245,242
2780.735573,7.451e-28,3,3,245,242
2780.73836,4.878e-29,3,3,744,744
2780.744572,8.86e-27,1,5,752,752
2780.745474,4.62e-27,3,3,247,744
2780.762973,9.025e-28,3,3,247,744
2780.771046,3.156e-26,1,6,752,752
2780.771081,1.896e-26,1,6,752,752
2780.771099,1.262e-26,1,6,752,752
2780.774881,6.177e-27,1,5,752,752
2780.781229,1.078e-26,1,6,752,752
2780.782355,1.028e-27,3,3,245,242
2780.787995,3.738e-27,1,6,752,752
2780.792966,7.512e-29,3,3,245,242
2780.796067,1.061e-29,3,3,752,752
2780.804959,2.287e-26,3,6,752,752
2780.810424,8.547e-28,3,3,245,254
2780.82666,2.49e-24,4,4,744,744
2780.82706,7.015e-25,3,3,239,257
2780.834203,6.123e-27,1,5,752,752
2780.852256,7.574e-29,3,3,245,242
2780.868158,1.16e-28,1,6,752,752
2780.879458,4.272e-24,4,4,744,744
2780.909524,5.234e-28,3,3,245,254
2780.912418,2.065e-25,3,3,239,257
2780.913457,4.265e-25,3,3,239,257
2780.919861,2.506e-28,3,3,245,242
2780.932248,1.375e-24,3,6,752,752
2780.937999,8.867e-27,3,3,245,242
2780.949688,1.509e-27,1,6,752,752
2780.951576,6.767e-29,1,6,752,752
2780.955459,9.943e-27,3,6,752,752
2780.982935,8.574e-26,3,6,752,752
2780.98591,2.18e-27,3,3,245,242
2780.987097,2.174e-27,3,3,245,242
2780.987625,7.819e-29,1,6,752,752
2780.997536,1.096e-26,5,3,245,242
2780.999646,4.267e-28,3,3,245,242
2781.002092,7.574e-28,3,3,245,242
2781.003098,7.327e-28,3,3,245,242
2781.005543,1.128e-26,1,6,752,752
2781.020767,2.02e-28,3,3,247,744
2781.021224,2.09e-29,1,4,752,752
2781.023319,1.218e-29,1,4,752,752
2781.032635,4.978e-26,3,6,752,752
2781.037119,3.874e-25,3,3,239,257
2781.044328,1.611e-25,3,6,752,752
2781.059837,7.451e-29,3,3,245,242
2781.069849,1.072e-27,1,6,752,752
2781.0871,2.53e-22,4,5,1127,744
2781.101584,2.783e-27,3,3,245,242
2781.110198,1.453e-28,3,3,245,242
2781.120935,1.634e-24,3,6,752,752
2781.126498,3.366e-25,4,3,247,744
2781.126902,5.048e-25,4,3,247,744
2781.127705,8.412e-25,4,3,247,744
2781.139361,2.527e-25,3,3,239,257
2781.145311,5.619e-29,1,6,752,752
2781.16467,1.668e-29,1,6,752,752
2781.166656,3.177e-29,2,3,247,744
2781.174002,1.278e-27,1,6,752,752
2781.182063,6.404e-29,3,3,245,242
2781.189128,1.73e-24,3,6,752,752
2781.211858,1.779e-29,1,4,752,752
2781.212068,4.048e-23,3,4,744,744
2781.218628,7.128e-26,3,6,752,752
2781.233805,1.401e-28,1,5,752,752
2781.234379,2.266e-25,3,6,752,752
2781.238556,3.423e-28,1,6,752,752
2781.244656,1.419e-28,1,6,752,752
2781.250899,4.999e-23,3,4,744,744
2781.253268,7.493e-25,3,3,239,257
2781.256007,1.096e-24,3,3,239,257
2781.257658,3.082e-29,1,6,752,752
2781.259028,1.96e-25,3,6,752,752
2781.26848,2.043e-23,3,4,744,744
2781.276195,1.81e-24,3,3,239,257
2781.284789,1.818e-29,3,4,752,752
2781.285198,5.837e-28,3,3,245,242
2781.296901,1.336e-27,3,3,245,254
2781.298837,2.75e-25,3,3,239,257
2781.298984,4.066e-29,2,3,247,744
2781.300247,1.182e-24,3,6,752,752
2781.304568,6.173e-24,3,4,744,744
2781.305164,3.207e-23,3,4,744,744
2781.305479,2.808e-25,3,6,752,752
2781.306354,4.427e-28,3,3,245,242
2781.326858,3.633e-27,3,3,245,254
2781.326982,3.146e-28,3,3,245,242
2781.347975,8.122e-24,3,6,752,752
